Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
58838,10/15/2013 11:21,Market at 10th,67,10/15/2013 11:27,Powell Street BART,39,560,Subscriber
58839,10/15/2013 11:23,Howard at 2nd,63,10/15/2013 12:15,Embarcadero at Sansome,60,202,Customer
58844,10/15/2013 11:26,Howard at 2nd,63,10/15/2013 12:15,Embarcadero at Sansome,60,562,Customer
58846,10/15/2013 11:28,Beale at Market,56,10/15/2013 11:33,Davis at Jackson,42,101,Subscriber
58847,10/15/2013 11:29,San Francisco Caltrain 2 (330 Townsend),69,10/15/2013 11:41,Powell at Post (Union Square),71,335,Subscriber
58848,10/15/2013 11:34,Golden Gate at Polk,59,10/15/2013 11:52,Embarcadero at Sansome,60,634,Subscriber
58852,10/15/2013 11:38,Embarcadero at Sansome,60,10/15/2013 14:03,Embarcadero at Sansome,60,436,Customer
58853,10/15/2013 11:39,Embarcadero at Sansome,60,10/15/2013 11:55,San Francisco Caltrain (Townsend at 4th),70,334,Subscriber
58854,10/15/2013 11:41,San Jose Civic Center,3,10/15/2013 11:46,San Jose City Hall,10,184,Subscriber
58855,10/15/2013 11:42,Civic Center BART (7th at Market),72,10/15/2013 11:55,Embarcadero at Bryant,54,446,Subscriber
58856,10/15/2013 11:42,Beale at Market,56,10/15/2013 16:49,Embarcadero at Sansome,60,629,Customer
58857,10/15/2013 11:43,Cowper at University,37,10/15/2013 11:47,University and Emerson,35,150,Subscriber
58858,10/15/2013 11:43,Adobe on Almaden,5,10/15/2013 11:57,San Jose City Hall,10,246,Customer
58859,10/15/2013 11:44,Adobe on Almaden,5,10/15/2013 11:56,San Jose City Hall,10,106,Subscriber
58860,10/15/2013 11:47,Market at Sansome,77,10/15/2013 11:56,Washington at Kearney,46,477,Subscriber
58862,10/15/2013 11:48,2nd at South Park,64,10/15/2013 12:00,Powell Street BART,39,433,Subscriber
58863,10/15/2013 11:49,Market at 10th,67,10/15/2013 12:17,Civic Center BART (7th at Market),72,464,Customer
58865,10/15/2013 11:50,2nd at South Park,64,10/15/2013 11:55,Howard at 2nd,63,313,Subscriber
