Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
134286,12/23/2013 14:49,Market at Sansome,77,12/23/2013 14:54,Harry Bridges Plaza (Ferry Building),50,508,Subscriber
134287,12/23/2013 14:50,Embarcadero at Vallejo,48,12/23/2013 15:55,Embarcadero at Vallejo,48,624,Customer
134288,12/23/2013 14:50,San Francisco Caltrain 2 (330 Townsend),69,12/23/2013 15:21,Embarcadero at Vallejo,48,435,Customer
134289,12/23/2013 14:50,Embarcadero at Vallejo,48,12/23/2013 14:55,Harry Bridges Plaza (Ferry Building),50,473,Subscriber
134290,12/23/2013 14:51,San Francisco Caltrain 2 (330 Townsend),69,12/23/2013 15:21,Embarcadero at Vallejo,48,381,Customer
134291,12/23/2013 14:51,Market at Sansome,77,12/23/2013 15:00,Civic Center BART (7th at Market),72,479,Subscriber
134292,12/23/2013 14:53,Beale at Market,56,12/23/2013 15:03,San Francisco Caltrain (Townsend at 4th),70,516,Subscriber
134294,12/23/2013 14:58,2nd at Folsom,62,12/23/2013 15:03,San Francisco Caltrain 2 (330 Townsend),69,443,Subscriber
134301,12/23/2013 15:05,Market at Sansome,77,12/23/2013 15:09,Harry Bridges Plaza (Ferry Building),50,428,Subscriber
134302,12/23/2013 15:07,Temporary Transbay Terminal (Howard at Beale),55,12/23/2013 15:16,San Francisco Caltrain 2 (330 Townsend),69,359,Subscriber
134303,12/23/2013 15:08,Mechanics Plaza (Market at Battery),75,12/23/2013 15:21,San Francisco Caltrain (Townsend at 4th),70,507,Subscriber
134304,12/23/2013 15:10,Townsend at 7th,65,12/23/2013 15:13,San Francisco Caltrain (Townsend at 4th),70,343,Subscriber
134306,12/23/2013 15:11,Market at 10th,67,12/23/2013 15:21,Powell at Post (Union Square),71,312,Subscriber
134307,12/23/2013 15:11,Beale at Market,56,12/23/2013 15:20,Spear at Folsom,49,545,Customer
134308,12/23/2013 15:11,Post at Kearney,47,12/23/2013 15:22,San Francisco Caltrain 2 (330 Townsend),69,444,Subscriber
134309,12/23/2013 15:13,Embarcadero at Vallejo,48,12/23/2013 15:17,Harry Bridges Plaza (Ferry Building),50,393,Subscriber
134310,12/23/2013 15:15,Harry Bridges Plaza (Ferry Building),50,12/23/2013 15:20,Mechanics Plaza (Market at Battery),75,349,Subscriber
134312,12/23/2013 15:16,Steuart at Market,74,12/23/2013 16:02,Embarcadero at Folsom,51,265,Customer
134313,12/23/2013 15:19,Paseo de San Antonio,7,12/23/2013 15:29,San Jose Diridon Caltrain Station,2,175,Subscriber
134314,12/23/2013 15:20,Embarcadero at Vallejo,48,12/23/2013 15:25,Beale at Market,56,354,Subscriber
134316,12/23/2013 15:21,Spear at Folsom,49,12/23/2013 15:34,Howard at 2nd,63,545,Customer
134320,12/23/2013 15:22,Temporary Transbay Terminal (Howard at Beale),55,12/23/2013 15:27,2nd at Townsend,61,521,Subscriber
134321,12/23/2013 15:22,San Pedro Square,6,12/23/2013 15:48,Santa Clara at Almaden,4,151,Customer
134322,12/23/2013 15:22,San Pedro Square,6,12/23/2013 15:50,Santa Clara at Almaden,4,168,Customer
134324,12/23/2013 15:23,Market at 10th,67,12/23/2013 15:46,Market at 10th,67,623,Subscriber
134325,12/23/2013 15:27,San Francisco Caltrain (Townsend at 4th),70,12/23/2013 15:33,Market at 4th,76,519,Subscriber
134326,12/23/2013 15:28,Howard at 2nd,63,12/23/2013 15:32,2nd at South Park,64,579,Subscriber
134327,12/23/2013 15:30,Arena Green / SAP Center,14,12/23/2013 15:42,Adobe on Almaden,5,40,Customer
134329,12/23/2013 15:31,Arena Green / SAP Center,14,12/23/2013 15:42,Adobe on Almaden,5,298,Customer
134330,12/23/2013 15:32,Temporary Transbay Terminal (Howard at Beale),55,12/23/2013 15:39,Post at Kearney,47,530,Subscriber
134331,12/23/2013 15:33,2nd at Townsend,61,12/23/2013 15:41,Steuart at Market,74,521,Subscriber
134332,12/23/2013 15:34,2nd at Townsend,61,12/23/2013 15:45,Steuart at Market,74,539,Subscriber
134333,12/23/2013 15:34,Commercial at Montgomery,45,12/23/2013 15:45,Embarcadero at Bryant,54,554,Subscriber
134334,12/23/2013 15:35,2nd at South Park,64,12/23/2013 15:38,Howard at 2nd,63,470,Subscriber
134335,12/23/2013 15:35,Redwood City Medical Center,26,12/23/2013 15:40,Redwood City Caltrain Station,22,253,Subscriber
134338,12/23/2013 15:39,Golden Gate at Polk,59,12/23/2013 15:54,Beale at Market,56,291,Subscriber
134339,12/23/2013 15:40,Powell Street BART,39,12/23/2013 19:58,San Francisco Caltrain (Townsend at 4th),70,466,Customer
134341,12/23/2013 15:40,Harry Bridges Plaza (Ferry Building),50,12/23/2013 15:54,2nd at Townsend,61,386,Customer
134342,12/23/2013 15:40,San Francisco Caltrain 2 (330 Townsend),69,12/23/2013 15:53,Harry Bridges Plaza (Ferry Building),50,359,Subscriber
134347,12/23/2013 15:41,Harry Bridges Plaza (Ferry Building),50,12/23/2013 15:54,2nd at Townsend,61,393,Customer
134348,12/23/2013 15:41,Harry Bridges Plaza (Ferry Building),50,12/23/2013 16:02,Embarcadero at Vallejo,48,356,Customer
134351,12/23/2013 15:42,Embarcadero at Sansome,60,12/23/2013 15:58,San Francisco Caltrain (Townsend at 4th),70,378,Subscriber
134356,12/23/2013 15:44,Civic Center BART (7th at Market),72,12/23/2013 15:49,Market at 4th,76,479,Subscriber
134358,12/23/2013 15:45,San Jose Civic Center,3,12/23/2013 15:52,Santa Clara at Almaden,4,688,Customer
134360,12/23/2013 15:46,Embarcadero at Vallejo,48,12/23/2013 15:59,San Francisco Caltrain (Townsend at 4th),70,435,Subscriber
134362,12/23/2013 15:47,2nd at Townsend,61,12/23/2013 16:03,Market at 4th,76,334,Subscriber
134363,12/23/2013 15:47,San Francisco Caltrain (Townsend at 4th),70,12/23/2013 15:59,Embarcadero at Bryant,54,399,Subscriber
134368,12/23/2013 15:48,Commercial at Montgomery,45,12/23/2013 15:54,Temporary Transbay Terminal (Howard at Beale),55,419,Subscriber
134370,12/23/2013 15:49,Commercial at Montgomery,45,12/23/2013 15:58,Powell Street BART,39,406,Subscriber
134371,12/23/2013 15:50,Santa Clara at Almaden,4,12/23/2013 16:00,San Jose Civic Center,3,151,Customer
134372,12/23/2013 15:50,Embarcadero at Sansome,60,12/23/2013 16:04,Harry Bridges Plaza (Ferry Building),50,561,Subscriber
134373,12/23/2013 15:51,Market at 4th,76,12/23/2013 15:59,San Francisco Caltrain (Townsend at 4th),70,594,Subscriber
134375,12/23/2013 15:54,Beale at Market,56,12/23/2013 16:07,Townsend at 7th,65,370,Subscriber
134376,12/23/2013 15:54,Embarcadero at Sansome,60,12/23/2013 16:11,San Francisco Caltrain 2 (330 Townsend),69,418,Subscriber
134377,12/23/2013 15:54,Spear at Folsom,49,12/23/2013 16:01,San Francisco Caltrain (Townsend at 4th),70,482,Subscriber
134378,12/23/2013 15:55,Santa Clara at Almaden,4,12/23/2013 15:58,San Jose Diridon Caltrain Station,2,262,Subscriber
134379,12/23/2013 15:55,University and Emerson,35,12/23/2013 16:05,California Ave Caltrain Station,36,695,Subscriber
134380,12/23/2013 15:55,Market at 4th,76,12/23/2013 16:05,Market at 10th,67,630,Subscriber
134381,12/23/2013 15:56,Grant Avenue at Columbus Avenue,73,12/23/2013 16:16,Market at 4th,76,392,Customer
134382,12/23/2013 15:57,Grant Avenue at Columbus Avenue,73,12/23/2013 16:16,Market at 4th,76,500,Customer
134383,12/23/2013 15:57,Clay at Battery,41,12/23/2013 16:06,Howard at 2nd,63,587,Subscriber
134384,12/23/2013 15:59,Grant Avenue at Columbus Avenue,73,12/23/2013 16:16,Market at 4th,76,498,Customer
134385,12/23/2013 15:59,Grant Avenue at Columbus Avenue,73,12/23/2013 16:16,Market at 4th,76,315,Customer
134387,12/23/2013 16:02,San Francisco Caltrain (Townsend at 4th),70,12/23/2013 16:13,Harry Bridges Plaza (Ferry Building),50,594,Subscriber
134388,12/23/2013 16:02,5th at Howard,57,12/23/2013 16:10,Temporary Transbay Terminal (Howard at Beale),55,620,Subscriber
134389,12/23/2013 16:02,Mechanics Plaza (Market at Battery),75,12/23/2013 16:06,Spear at Folsom,49,483,Subscriber
134392,12/23/2013 16:03,Embarcadero at Vallejo,48,12/23/2013 16:16,Embarcadero at Sansome,60,356,Customer
134393,12/23/2013 16:04,Beale at Market,56,12/23/2013 16:15,San Francisco Caltrain (Townsend at 4th),70,608,Subscriber
134394,12/23/2013 16:04,Embarcadero at Sansome,60,12/23/2013 16:26,Townsend at 7th,65,373,Customer
134395,12/23/2013 16:04,Steuart at Market,74,12/23/2013 16:15,San Francisco Caltrain 2 (330 Townsend),69,539,Subscriber
134396,12/23/2013 16:04,Embarcadero at Sansome,60,12/23/2013 16:26,Townsend at 7th,65,463,Customer
134397,12/23/2013 16:06,Embarcadero at Folsom,51,12/23/2013 16:14,San Francisco Caltrain (Townsend at 4th),70,383,Subscriber
134398,12/23/2013 16:06,Davis at Jackson,42,12/23/2013 16:08,Beale at Market,56,542,Subscriber
134400,12/23/2013 16:07,Townsend at 7th,65,12/23/2013 16:11,San Francisco Caltrain (Townsend at 4th),70,442,Subscriber
134401,12/23/2013 16:08,2nd at South Park,64,12/23/2013 16:24,Market at 10th,67,524,Subscriber
134402,12/23/2013 16:09,Market at 4th,76,12/23/2013 16:20,San Francisco Caltrain (Townsend at 4th),70,596,Subscriber
134403,12/23/2013 16:09,Powell Street BART,39,12/23/2013 16:19,Commercial at Montgomery,45,406,Subscriber
134404,12/23/2013 16:10,2nd at South Park,64,12/23/2013 16:22,Howard at 2nd,63,339,Subscriber
134405,12/23/2013 16:11,Harry Bridges Plaza (Ferry Building),50,12/23/2013 16:27,San Francisco Caltrain (Townsend at 4th),70,320,Subscriber
134406,12/23/2013 16:11,Market at Sansome,77,12/23/2013 16:24,Townsend at 7th,65,281,Subscriber
134407,12/23/2013 16:11,Mountain View City Hall,27,12/23/2013 16:40,Rengstorff Avenue / California Street,33,198,Subscriber
134408,12/23/2013 16:12,2nd at Townsend,61,12/23/2013 17:01,Beale at Market,56,431,Customer
134409,12/23/2013 16:14,Embarcadero at Folsom,51,12/23/2013 16:18,2nd at Townsend,61,522,Subscriber
134410,12/23/2013 16:15,2nd at South Park,64,12/23/2013 16:18,San Francisco Caltrain (Townsend at 4th),70,544,Subscriber
134411,12/23/2013 16:15,Townsend at 7th,65,12/23/2013 16:28,Market at Sansome,77,457,Subscriber
134413,12/23/2013 16:17,Evelyn Park and Ride,30,12/23/2013 16:22,Mountain View Caltrain Station,28,77,Subscriber
134414,12/23/2013 16:18,2nd at South Park,64,12/23/2013 19:20,Powell at Post (Union Square),71,579,Customer
134415,12/23/2013 16:19,2nd at Townsend,61,12/23/2013 17:01,Beale at Market,56,386,Customer
134416,12/23/2013 16:19,Market at Sansome,77,12/23/2013 16:31,South Van Ness at Market,66,568,Subscriber
134417,12/23/2013 16:20,San Francisco Caltrain (Townsend at 4th),70,12/23/2013 16:22,San Francisco Caltrain (Townsend at 4th),70,544,Subscriber
134420,12/23/2013 16:22,Market at 4th,76,12/23/2013 16:30,2nd at South Park,64,590,Subscriber
134423,12/23/2013 16:25,Embarcadero at Sansome,60,12/23/2013 16:29,Clay at Battery,41,448,Subscriber
134424,12/23/2013 16:28,Embarcadero at Folsom,51,12/23/2013 16:40,San Francisco Caltrain (Townsend at 4th),70,487,Subscriber
134425,12/23/2013 16:30,Commercial at Montgomery,45,12/23/2013 16:34,Temporary Transbay Terminal (Howard at Beale),55,371,Subscriber
134426,12/23/2013 16:31,2nd at Folsom,62,12/23/2013 16:38,Market at 4th,76,462,Subscriber
134427,12/23/2013 16:32,2nd at South Park,64,12/23/2013 16:36,San Francisco Caltrain (Townsend at 4th),70,590,Subscriber
134428,12/23/2013 16:32,South Van Ness at Market,66,12/23/2013 16:35,Civic Center BART (7th at Market),72,288,Subscriber
134430,12/23/2013 16:34,2nd at Townsend,61,12/23/2013 16:41,Temporary Transbay Terminal (Howard at Beale),55,443,Subscriber
134431,12/23/2013 16:34,Market at 10th,67,12/23/2013 16:43,San Francisco Caltrain (Townsend at 4th),70,533,Subscriber
134432,12/23/2013 16:36,Beale at Market,56,12/23/2013 16:45,2nd at Townsend,61,277,Subscriber
134433,12/23/2013 16:37,Temporary Transbay Terminal (Howard at Beale),55,12/23/2013 16:46,San Francisco Caltrain (Townsend at 4th),70,419,Subscriber
134434,12/23/2013 16:38,2nd at Townsend,61,12/23/2013 16:46,Harry Bridges Plaza (Ferry Building),50,324,Subscriber
134435,12/23/2013 16:40,San Francisco Caltrain (Townsend at 4th),70,12/23/2013 16:54,Golden Gate at Polk,59,590,Subscriber
134436,12/23/2013 16:41,Adobe on Almaden,5,12/23/2013 16:50,Arena Green / SAP Center,14,40,Customer
134437,12/23/2013 16:41,Adobe on Almaden,5,12/23/2013 16:49,Arena Green / SAP Center,14,298,Customer
134440,12/23/2013 16:43,Temporary Transbay Terminal (Howard at Beale),55,12/23/2013 16:55,San Francisco Caltrain (Townsend at 4th),70,443,Subscriber
134441,12/23/2013 16:44,Commercial at Montgomery,45,12/23/2013 16:52,Market at 4th,76,452,Subscriber
134442,12/23/2013 16:44,Market at 10th,67,12/23/2013 16:55,Washington at Kearney,46,623,Subscriber
134443,12/23/2013 16:45,Washington at Kearney,46,12/23/2013 16:57,5th at Howard,57,273,Subscriber
134444,12/23/2013 16:46,Howard at 2nd,63,12/23/2013 16:55,Embarcadero at Bryant,54,506,Subscriber
134445,12/23/2013 16:46,5th at Howard,57,12/23/2013 16:53,Market at 4th,76,625,Subscriber
134447,12/23/2013 16:47,Howard at 2nd,63,12/23/2013 16:53,San Francisco Caltrain 2 (330 Townsend),69,470,Subscriber
134448,12/23/2013 16:48,Howard at 2nd,63,12/23/2013 16:53,Post at Kearney,47,465,Subscriber
134450,12/23/2013 16:49,Golden Gate at Polk,59,12/23/2013 16:52,Civic Center BART (7th at Market),72,627,Subscriber
134453,12/23/2013 16:51,Mechanics Plaza (Market at Battery),75,12/23/2013 16:54,Temporary Transbay Terminal (Howard at Beale),55,408,Subscriber
134454,12/23/2013 16:51,Santa Clara at Almaden,4,12/23/2013 16:55,Arena Green / SAP Center,14,200,Subscriber
134455,12/23/2013 16:52,Townsend at 7th,65,12/23/2013 16:59,2nd at Townsend,61,321,Subscriber
134456,12/23/2013 16:52,Townsend at 7th,65,12/23/2013 16:59,2nd at Townsend,61,370,Subscriber
134457,12/23/2013 16:53,Temporary Transbay Terminal (Howard at Beale),55,12/23/2013 17:06,Townsend at 7th,65,371,Subscriber
134458,12/23/2013 16:54,Mechanics Plaza (Market at Battery),75,12/23/2013 17:02,Powell at Post (Union Square),71,347,Subscriber
134460,12/23/2013 16:55,Market at Sansome,77,12/23/2013 17:08,Embarcadero at Sansome,60,365,Customer
134461,12/23/2013 16:56,Market at Sansome,77,12/23/2013 17:08,Embarcadero at Sansome,60,605,Customer
134462,12/23/2013 16:57,Market at 4th,76,12/23/2013 17:03,Harry Bridges Plaza (Ferry Building),50,479,Subscriber
134465,12/23/2013 16:59,2nd at Townsend,61,12/23/2013 17:08,Market at 4th,76,451,Subscriber
134467,12/23/2013 17:00,San Francisco Caltrain (Townsend at 4th),70,12/23/2013 17:07,Market at 4th,76,596,Subscriber
134471,12/23/2013 17:01,Beale at Market,56,12/23/2013 17:10,Embarcadero at Sansome,60,412,Subscriber
134474,12/23/2013 17:02,San Francisco Caltrain (Townsend at 4th),70,12/23/2013 17:11,Yerba Buena Center of the Arts (3rd @ Howard),68,320,Subscriber
134475,12/23/2013 17:02,Temporary Transbay Terminal (Howard at Beale),55,12/23/2013 17:13,San Francisco Caltrain (Townsend at 4th),70,620,Subscriber
134476,12/23/2013 17:02,5th at Howard,57,12/23/2013 17:13,Townsend at 7th,65,273,Subscriber
134477,12/23/2013 17:03,Yerba Buena Center of the Arts (3rd @ Howard),68,12/23/2013 17:09,San Francisco Caltrain 2 (330 Townsend),69,300,Subscriber
134478,12/23/2013 17:02,Steuart at Market,74,12/23/2013 17:13,Grant Avenue at Columbus Avenue,73,492,Subscriber
134479,12/23/2013 17:03,San Francisco Caltrain 2 (330 Townsend),69,12/23/2013 17:10,Powell Street BART,39,444,Subscriber
134480,12/23/2013 17:04,2nd at Folsom,62,12/23/2013 17:12,Harry Bridges Plaza (Ferry Building),50,417,Subscriber
134481,12/23/2013 17:04,Post at Kearney,47,12/23/2013 17:11,Powell Street BART,39,576,Subscriber
134482,12/23/2013 17:08,Commercial at Montgomery,45,12/23/2013 17:11,Davis at Jackson,42,358,Subscriber
134483,12/23/2013 17:08,Post at Kearney,47,12/23/2013 17:18,South Van Ness at Market,66,407,Subscriber
134484,12/23/2013 17:08,Townsend at 7th,65,12/23/2013 17:12,San Francisco Caltrain 2 (330 Townsend),69,371,Subscriber
134485,12/23/2013 17:09,Howard at 2nd,63,12/23/2013 17:26,Embarcadero at Sansome,60,545,Subscriber
134486,12/23/2013 17:09,Howard at 2nd,63,12/23/2013 17:26,Embarcadero at Sansome,60,411,Subscriber
134487,12/23/2013 17:09,South Van Ness at Market,66,12/23/2013 17:16,Powell Street BART,39,568,Subscriber
134489,12/23/2013 17:08,Embarcadero at Bryant,54,12/23/2013 17:14,San Francisco Caltrain (Townsend at 4th),70,506,Subscriber
134490,12/23/2013 17:10,Temporary Transbay Terminal (Howard at Beale),55,12/23/2013 17:19,San Francisco Caltrain 2 (330 Townsend),69,408,Subscriber
134491,12/23/2013 17:10,Yerba Buena Center of the Arts (3rd @ Howard),68,12/23/2013 17:15,San Francisco Caltrain 2 (330 Townsend),69,600,Subscriber
134492,12/23/2013 17:10,Townsend at 7th,65,12/23/2013 17:17,2nd at Townsend,61,463,Subscriber
134493,12/23/2013 17:11,Embarcadero at Sansome,60,12/23/2013 17:18,Steuart at Market,74,365,Subscriber
134494,12/23/2013 17:11,Steuart at Market,74,12/23/2013 17:19,Embarcadero at Sansome,60,376,Subscriber
134495,12/23/2013 17:11,Steuart at Market,74,12/23/2013 17:19,Embarcadero at Sansome,60,629,Customer
134496,12/23/2013 17:11,San Jose Diridon Caltrain Station,2,12/23/2013 17:16,Santa Clara at Almaden,4,179,Subscriber
134497,12/23/2013 17:11,Embarcadero at Vallejo,48,12/23/2013 17:20,2nd at South Park,64,540,Subscriber
134499,12/23/2013 17:13,Clay at Battery,41,12/23/2013 17:21,San Francisco Caltrain (Townsend at 4th),70,560,Subscriber
134500,12/23/2013 17:13,2nd at South Park,64,12/23/2013 17:21,Temporary Transbay Terminal (Howard at Beale),55,331,Subscriber
134502,12/23/2013 17:14,South Van Ness at Market,66,12/23/2013 17:25,San Francisco Caltrain (Townsend at 4th),70,396,Subscriber
134506,12/23/2013 17:15,Santa Clara at Almaden,4,12/23/2013 17:21,San Jose Diridon Caltrain Station,2,195,Subscriber
134509,12/23/2013 17:17,Howard at 2nd,63,12/23/2013 17:24,San Francisco Caltrain 2 (330 Townsend),69,339,Subscriber
