Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
97187,11/15/2013 9:42,Howard at 2nd,63,11/15/2013 9:57,Powell Street BART,39,491,Subscriber
97188,11/15/2013 9:42,South Van Ness at Market,66,11/15/2013 9:54,Howard at 2nd,63,566,Subscriber
97189,11/15/2013 9:42,San Francisco Caltrain (Townsend at 4th),70,11/15/2013 9:49,Yerba Buena Center of the Arts (3rd @ Howard),68,467,Subscriber
97190,11/15/2013 9:42,2nd at Townsend,61,11/15/2013 9:51,Townsend at 7th,65,367,Subscriber
97194,11/15/2013 9:44,South Van Ness at Market,66,11/15/2013 10:27,South Van Ness at Market,66,350,Customer
97195,11/15/2013 9:44,Golden Gate at Polk,59,11/15/2013 9:49,Powell Street BART,39,610,Subscriber
97196,11/15/2013 9:44,Davis at Jackson,42,11/15/2013 10:11,Market at 10th,67,542,Subscriber
97200,11/15/2013 9:45,Howard at 2nd,63,11/15/2013 9:49,Beale at Market,56,456,Subscriber
97201,11/15/2013 9:45,Market at Sansome,77,11/15/2013 9:54,Grant Avenue at Columbus Avenue,73,424,Subscriber
97202,11/15/2013 9:45,Mechanics Plaza (Market at Battery),75,11/15/2013 9:50,Commercial at Montgomery,45,445,Subscriber
97205,11/15/2013 9:47,Market at 10th,67,11/15/2013 9:59,Steuart at Market,74,419,Subscriber
97206,11/15/2013 9:47,Steuart at Market,74,11/15/2013 9:56,2nd at Townsend,61,511,Subscriber
97207,11/15/2013 9:48,Market at 10th,67,11/15/2013 9:58,Mechanics Plaza (Market at Battery),75,547,Subscriber
97208,11/15/2013 9:49,Embarcadero at Sansome,60,11/15/2013 9:58,Temporary Transbay Terminal (Howard at Beale),55,557,Subscriber
97209,11/15/2013 9:49,Washington at Kearney,46,11/15/2013 9:54,Steuart at Market,74,290,Subscriber
97210,11/15/2013 9:51,Yerba Buena Center of the Arts (3rd @ Howard),68,11/15/2013 10:03,Market at 10th,67,327,Subscriber
97211,11/15/2013 9:51,Harry Bridges Plaza (Ferry Building),50,11/15/2013 10:08,Powell at Post (Union Square),71,446,Subscriber
97212,11/15/2013 9:52,San Francisco Caltrain (Townsend at 4th),70,11/15/2013 10:15,Spear at Folsom,49,621,Subscriber
97213,11/15/2013 9:50,Clay at Battery,41,11/15/2013 9:58,Embarcadero at Sansome,60,505,Subscriber
97214,11/15/2013 9:52,2nd at South Park,64,11/15/2013 10:03,Embarcadero at Vallejo,48,517,Subscriber
97215,11/15/2013 9:54,Cowper at University,37,11/15/2013 9:57,University and Emerson,35,27,Subscriber
97216,11/15/2013 9:54,2nd at South Park,64,11/15/2013 10:00,Market at Sansome,77,584,Subscriber
97222,11/15/2013 9:55,Harry Bridges Plaza (Ferry Building),50,11/15/2013 10:00,Embarcadero at Vallejo,48,615,Subscriber
97225,11/15/2013 9:56,Beale at Market,56,11/15/2013 10:03,Embarcadero at Vallejo,48,456,Subscriber
97228,11/15/2013 9:57,Market at Sansome,77,11/15/2013 10:59,Mechanics Plaza (Market at Battery),75,380,Customer
97230,11/15/2013 9:58,Embarcadero at Bryant,54,11/15/2013 10:03,Harry Bridges Plaza (Ferry Building),50,328,Subscriber
97232,11/15/2013 9:58,Steuart at Market,74,11/15/2013 10:06,Embarcadero at Sansome,60,290,Subscriber
97233,11/15/2013 9:58,Post at Kearney,47,11/15/2013 10:05,Harry Bridges Plaza (Ferry Building),50,552,Subscriber
97234,11/15/2013 9:59,Harry Bridges Plaza (Ferry Building),50,11/15/2013 10:03,Embarcadero at Vallejo,48,537,Subscriber
97235,11/15/2013 9:59,South Van Ness at Market,66,11/15/2013 10:13,Powell at Post (Union Square),71,499,Customer
97236,11/15/2013 10:00,Beale at Market,56,11/15/2013 10:07,Embarcadero at Vallejo,48,351,Subscriber
97237,11/15/2013 10:01,Powell Street BART,39,11/15/2013 10:10,San Francisco Caltrain 2 (330 Townsend),69,544,Subscriber
97238,11/15/2013 10:01,San Jose Diridon Caltrain Station,2,11/15/2013 10:11,MLK Library,11,205,Subscriber
97239,11/15/2013 10:01,San Jose Diridon Caltrain Station,2,11/15/2013 10:06,Adobe on Almaden,5,642,Subscriber
97240,11/15/2013 10:04,Embarcadero at Folsom,51,11/15/2013 10:13,San Francisco Caltrain 2 (330 Townsend),69,420,Customer
97241,11/15/2013 10:04,San Jose Diridon Caltrain Station,2,11/15/2013 10:16,Paseo de San Antonio,7,140,Subscriber
97242,11/15/2013 10:05,Grant Avenue at Columbus Avenue,73,11/15/2013 10:12,Market at Sansome,77,424,Subscriber
97243,11/15/2013 10:05,Townsend at 7th,65,11/15/2013 10:16,Temporary Transbay Terminal (Howard at Beale),55,315,Subscriber
97244,11/15/2013 10:05,Embarcadero at Bryant,54,11/15/2013 10:17,Harry Bridges Plaza (Ferry Building),50,361,Subscriber
97245,11/15/2013 10:05,5th at Howard,57,11/15/2013 10:11,Market at Sansome,77,635,Subscriber
97246,11/15/2013 10:05,Clay at Battery,41,11/15/2013 10:09,Temporary Transbay Terminal (Howard at Beale),55,549,Subscriber
97247,11/15/2013 10:07,San Francisco Caltrain (Townsend at 4th),70,11/15/2013 10:10,Townsend at 7th,65,343,Subscriber
