Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
125889,12/14/2013 22:33,Harry Bridges Plaza (Ferry Building),50,12/14/2013 23:09,Post at Kearney,47,432,Customer
125891,12/14/2013 22:36,Embarcadero at Vallejo,48,12/14/2013 22:43,Embarcadero at Bryant,54,479,Subscriber
125892,12/14/2013 23:22,Powell Street BART,39,12/14/2013 23:27,South Van Ness at Market,66,570,Subscriber
125893,12/14/2013 23:38,Steuart at Market,74,12/14/2013 23:42,Spear at Folsom,49,471,Subscriber
125894,12/14/2013 23:52,San Jose Diridon Caltrain Station,2,12/15/2013 0:03,SJSU - San Salvador at 9th,16,159,Subscriber
125895,12/14/2013 23:54,Embarcadero at Bryant,54,12/14/2013 23:59,Embarcadero at Folsom,51,265,Subscriber
125896,12/14/2013 23:57,Powell Street BART,39,12/15/2013 0:02,Market at Sansome,77,344,Subscriber
125898,12/15/2013 0:07,San Jose City Hall,10,12/15/2013 0:29,San Jose City Hall,10,645,Customer
125899,12/15/2013 0:13,Townsend at 7th,65,12/15/2013 0:17,San Francisco Caltrain 2 (330 Townsend),69,367,Subscriber
125901,12/15/2013 0:29,Steuart at Market,74,12/15/2013 0:38,San Francisco Caltrain 2 (330 Townsend),69,483,Subscriber
125902,12/15/2013 0:40,2nd at Folsom,62,12/15/2013 0:48,Commercial at Montgomery,45,587,Customer
125903,12/15/2013 0:55,Market at 4th,76,12/15/2013 1:05,2nd at Townsend,61,601,Customer
125904,12/15/2013 0:55,Market at 4th,76,12/15/2013 1:05,2nd at Townsend,61,292,Customer
125906,12/15/2013 2:17,Davis at Jackson,42,12/15/2013 2:40,San Francisco Caltrain 2 (330 Townsend),69,330,Subscriber
125907,12/15/2013 2:41,Civic Center BART (7th at Market),72,12/15/2013 2:47,Golden Gate at Polk,59,528,Subscriber
125908,12/15/2013 6:11,Spear at Folsom,49,12/15/2013 6:17,Yerba Buena Center of the Arts (3rd @ Howard),68,471,Subscriber
125909,12/15/2013 7:18,South Van Ness at Market,66,12/15/2013 7:29,Steuart at Market,74,463,Subscriber
