Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
11467,9/5/2013 12:41,Market at 4th,76,9/5/2013 12:50,Market at 10th,67,589,Customer
11468,9/5/2013 12:41,SJSU - San Salvador at 9th,16,9/5/2013 12:47,SJSU - San Salvador at 9th,16,156,Customer
11469,9/5/2013 12:43,Embarcadero at Folsom,51,9/5/2013 12:49,2nd at South Park,64,523,Subscriber
11471,9/5/2013 12:46,Steuart at Market,74,9/5/2013 12:53,San Francisco Caltrain (Townsend at 4th),70,507,Customer
11472,9/5/2013 12:48,Golden Gate at Polk,59,9/5/2013 13:05,2nd at South Park,64,380,Subscriber
11473,9/5/2013 12:49,St James Park,13,9/5/2013 13:05,San Jose City Hall,10,648,Subscriber
11474,9/5/2013 12:51,Market at 10th,67,9/5/2013 12:55,South Van Ness at Market,66,438,Customer
11475,9/5/2013 12:51,2nd at South Park,64,9/5/2013 13:15,Harry Bridges Plaza (Ferry Building),50,482,Customer
11476,9/5/2013 12:51,Market at Sansome,77,9/5/2013 13:00,5th at Howard,57,392,Subscriber
11477,9/5/2013 12:53,Howard at 2nd,63,9/5/2013 13:07,Howard at 2nd,63,393,Customer
11478,9/5/2013 12:56,South Van Ness at Market,66,9/5/2013 13:06,Townsend at 7th,65,438,Subscriber
11479,9/5/2013 13:03,Mechanics Plaza (Market at Battery),75,9/5/2013 13:34,2nd at South Park,64,351,Customer
11480,9/5/2013 13:04,Steuart at Market,74,9/5/2013 13:14,Commercial at Montgomery,45,267,Subscriber
11481,9/5/2013 13:04,Grant Avenue at Columbus Avenue,73,9/5/2013 13:08,Grant Avenue at Columbus Avenue,73,548,Customer
11482,9/5/2013 13:04,Beale at Market,56,9/5/2013 13:08,Harry Bridges Plaza (Ferry Building),50,333,Subscriber
11484,9/5/2013 13:05,2nd at Folsom,62,9/5/2013 13:16,Harry Bridges Plaza (Ferry Building),50,260,Customer
11485,9/5/2013 13:06,MLK Library,11,9/5/2013 13:14,San Jose Civic Center,3,680,Subscriber
11487,9/5/2013 13:06,2nd at Folsom,62,9/5/2013 13:19,Temporary Transbay Terminal (Howard at Beale),55,336,Subscriber
11488,9/5/2013 13:06,SJSU - San Salvador at 9th,16,9/5/2013 13:31,San Jose Diridon Caltrain Station,2,45,Customer
11490,9/5/2013 13:09,Powell at Post (Union Square),71,9/5/2013 13:30,Harry Bridges Plaza (Ferry Building),50,284,Subscriber
11491,9/5/2013 13:10,Market at Sansome,77,9/5/2013 13:23,South Van Ness at Market,66,602,Subscriber
11492,9/5/2013 13:07,San Salvador at 1st,8,9/5/2013 13:12,San Jose City Hall,10,673,Subscriber
11494,9/5/2013 13:11,2nd at Folsom,62,9/5/2013 13:23,Civic Center BART (7th at Market),72,270,Customer
11496,9/5/2013 13:13,Harry Bridges Plaza (Ferry Building),50,9/5/2013 13:19,Spear at Folsom,49,315,Subscriber
11498,9/5/2013 13:13,Embarcadero at Sansome,60,9/5/2013 13:27,2nd at South Park,64,352,Subscriber
11499,9/5/2013 13:13,Commercial at Montgomery,45,9/5/2013 13:31,Embarcadero at Vallejo,48,600,Customer
11500,9/5/2013 13:13,San Jose City Hall,10,9/5/2013 13:21,St James Park,13,673,Subscriber
11503,9/5/2013 13:13,Civic Center BART (7th at Market),72,9/5/2013 13:53,Commercial at Montgomery,45,367,Customer
11504,9/5/2013 13:14,Clay at Battery,41,9/5/2013 13:16,Commercial at Montgomery,45,559,Subscriber
11506,9/5/2013 13:18,Yerba Buena Center of the Arts (3rd @ Howard),68,9/5/2013 13:22,Post at Kearney,47,266,Subscriber
11507,9/5/2013 13:18,Harry Bridges Plaza (Ferry Building),50,9/5/2013 13:21,Beale at Market,56,333,Subscriber
11508,9/5/2013 13:19,Spear at Folsom,49,9/5/2013 13:48,Spear at Folsom,49,492,Customer
11509,9/5/2013 13:20,South Van Ness at Market,66,9/5/2013 13:27,Powell Street BART,39,401,Subscriber
11510,9/5/2013 13:20,Commercial at Montgomery,45,9/5/2013 13:31,Embarcadero at Vallejo,48,409,Customer
11511,9/5/2013 13:21,Yerba Buena Center of the Arts (3rd @ Howard),68,9/5/2013 13:26,Powell Street BART,39,384,Subscriber
11512,9/5/2013 13:20,San Francisco Caltrain 2 (330 Townsend),69,9/5/2013 13:24,2nd at Townsend,61,371,Customer
11514,9/5/2013 13:22,St James Park,13,9/5/2013 13:25,San Pedro Square,6,96,Subscriber
11515,9/5/2013 13:23,Commercial at Montgomery,45,9/5/2013 13:25,Clay at Battery,41,559,Subscriber
11516,9/5/2013 13:23,Temporary Transbay Terminal (Howard at Beale),55,9/5/2013 13:28,Steuart at Market,74,574,Subscriber
11517,9/5/2013 13:24,Mechanics Plaza (Market at Battery),75,9/5/2013 13:28,Steuart at Market,74,271,Subscriber
11518,9/5/2013 13:25,Powell Street BART,39,9/5/2013 13:33,South Van Ness at Market,66,513,Subscriber
