Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
187921,2/18/2014 13:02,Broadway St at Battery St,82,2/18/2014 13:06,Market at Sansome,77,374,Subscriber
187922,2/18/2014 13:02,Embarcadero at Sansome,60,2/18/2014 13:11,Embarcadero at Folsom,51,637,Subscriber
187923,2/18/2014 13:03,San Francisco City Hall,58,2/18/2014 13:11,Townsend at 7th,65,344,Subscriber
187924,2/18/2014 13:03,Powell Street BART,39,2/18/2014 13:09,San Francisco City Hall,58,408,Customer
187925,2/18/2014 13:03,Spear at Folsom,49,2/18/2014 13:20,Powell at Post (Union Square),71,617,Subscriber
187926,2/18/2014 13:04,Spear at Folsom,49,2/18/2014 13:20,Powell at Post (Union Square),71,362,Subscriber
187927,2/18/2014 13:07,Spear at Folsom,49,2/18/2014 13:14,2nd at Folsom,62,463,Subscriber
187929,2/18/2014 13:08,Embarcadero at Sansome,60,2/18/2014 13:15,Steuart at Market,74,562,Subscriber
187930,2/18/2014 13:10,Mechanics Plaza (Market at Battery),75,2/18/2014 13:18,5th at Howard,57,484,Subscriber
187931,2/18/2014 13:11,Yerba Buena Center of the Arts (3rd @ Howard),68,2/18/2014 16:53,Yerba Buena Center of the Arts (3rd @ Howard),68,599,Customer
187932,2/18/2014 13:11,Embarcadero at Sansome,60,2/18/2014 13:19,Harry Bridges Plaza (Ferry Building),50,310,Subscriber
187933,2/18/2014 13:11,Embarcadero at Sansome,60,2/18/2014 13:21,Harry Bridges Plaza (Ferry Building),50,461,Subscriber
187935,2/18/2014 13:13,Market at Sansome,77,2/18/2014 13:18,Harry Bridges Plaza (Ferry Building),50,282,Subscriber
187937,2/18/2014 13:15,Golden Gate at Polk,59,2/18/2014 13:31,Clay at Battery,41,456,Subscriber
187939,2/18/2014 13:17,San Francisco City Hall,58,2/18/2014 13:21,South Van Ness at Market,66,591,Subscriber
187940,2/18/2014 13:18,Embarcadero at Bryant,54,2/18/2014 13:28,Market at Sansome,77,319,Subscriber
187942,2/18/2014 13:25,Powell Street BART,39,2/18/2014 13:28,Market at 4th,76,277,Subscriber
187943,2/18/2014 13:25,Spear at Folsom,49,2/18/2014 13:30,2nd at South Park,64,357,Subscriber
187944,2/18/2014 13:25,2nd at South Park,64,2/18/2014 13:29,San Francisco Caltrain 2 (330 Townsend),69,518,Subscriber
187945,2/18/2014 13:25,Davis at Jackson,42,2/18/2014 13:31,Market at Sansome,77,559,Subscriber
187946,2/18/2014 13:25,Yerba Buena Center of the Arts (3rd @ Howard),68,2/18/2014 13:57,Clay at Battery,41,520,Customer
187947,2/18/2014 13:27,2nd at Folsom,62,2/18/2014 13:30,Market at Sansome,77,360,Subscriber
187948,2/18/2014 13:31,Yerba Buena Center of the Arts (3rd @ Howard),68,2/18/2014 13:57,Clay at Battery,41,324,Customer
187949,2/18/2014 13:32,Grant Avenue at Columbus Avenue,73,2/18/2014 13:49,Yerba Buena Center of the Arts (3rd @ Howard),68,426,Customer
187950,2/18/2014 13:32,Grant Avenue at Columbus Avenue,73,2/18/2014 13:49,Yerba Buena Center of the Arts (3rd @ Howard),68,419,Customer
187951,2/18/2014 13:34,Yerba Buena Center of the Arts (3rd @ Howard),68,2/18/2014 13:58,Clay at Battery,41,339,Customer
187952,2/18/2014 13:35,Yerba Buena Center of the Arts (3rd @ Howard),68,2/18/2014 13:58,Clay at Battery,41,561,Customer
187953,2/18/2014 13:37,Market at 10th,67,2/18/2014 13:47,Post at Kearney,47,489,Subscriber
187954,2/18/2014 13:45,Yerba Buena Center of the Arts (3rd @ Howard),68,2/19/2014 7:38,Grant Avenue at Columbus Avenue,73,503,Customer
