Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
101098,11/19/2013 9:12,Market at Sansome,77,11/19/2013 9:17,Clay at Battery,41,434,Subscriber
101099,11/19/2013 9:12,San Francisco Caltrain (Townsend at 4th),70,11/19/2013 9:29,Harry Bridges Plaza (Ferry Building),50,466,Subscriber
101100,11/19/2013 9:12,San Francisco Caltrain (Townsend at 4th),70,11/19/2013 9:22,Yerba Buena Center of the Arts (3rd @ Howard),68,357,Subscriber
101101,11/19/2013 9:14,Beale at Market,56,11/19/2013 9:18,Commercial at Montgomery,45,392,Subscriber
101102,11/19/2013 9:14,Civic Center BART (7th at Market),72,11/19/2013 9:18,5th at Howard,57,406,Subscriber
101103,11/19/2013 9:14,Market at 10th,67,11/19/2013 9:24,Steuart at Market,74,288,Subscriber
101104,11/19/2013 9:14,Market at 10th,67,11/19/2013 9:24,Powell at Post (Union Square),71,540,Subscriber
101105,11/19/2013 9:14,Market at 10th,67,11/19/2013 9:23,Market at Sansome,77,412,Subscriber
101106,11/19/2013 9:14,Market at 10th,67,11/19/2013 9:23,Market at Sansome,77,545,Subscriber
101107,11/19/2013 9:15,Mechanics Plaza (Market at Battery),75,11/19/2013 9:23,Civic Center BART (7th at Market),72,497,Subscriber
101110,11/19/2013 9:16,San Francisco Caltrain 2 (330 Townsend),69,11/19/2013 9:21,Townsend at 7th,65,626,Subscriber
101111,11/19/2013 9:16,Howard at 2nd,63,11/19/2013 9:22,5th at Howard,57,365,Subscriber
101112,11/19/2013 9:17,Grant Avenue at Columbus Avenue,73,11/19/2013 9:32,Market at 10th,67,269,Subscriber
101114,11/19/2013 9:17,Embarcadero at Bryant,54,11/19/2013 9:23,Harry Bridges Plaza (Ferry Building),50,391,Subscriber
101115,11/19/2013 9:17,Market at 10th,67,11/19/2013 9:34,Spear at Folsom,49,630,Subscriber
101116,11/19/2013 9:17,California Ave Caltrain Station,36,11/19/2013 9:32,Palo Alto Caltrain Station,34,90,Customer
101117,11/19/2013 9:18,Steuart at Market,74,11/19/2013 9:26,2nd at Townsend,61,604,Subscriber
