Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
163430,1/23/2014 13:43,Post at Kearney,47,1/23/2014 19:02,Davis at Jackson,42,278,Customer
163431,1/23/2014 13:43,Japantown,9,1/23/2014 13:56,San Jose Government Center,80,19,Customer
163432,1/23/2014 13:44,Embarcadero at Sansome,60,1/23/2014 16:54,San Francisco City Hall,58,426,Customer
163433,1/23/2014 13:44,Japantown,9,1/23/2014 13:56,San Jose Government Center,80,99,Customer
163434,1/23/2014 13:44,Japantown,9,1/23/2014 13:56,San Jose Government Center,80,174,Customer
163435,1/23/2014 13:46,Post at Kearney,47,1/23/2014 14:00,2nd at Folsom,62,268,Customer
163436,1/23/2014 13:47,Post at Kearney,47,1/23/2014 14:00,2nd at Folsom,62,427,Customer
163437,1/23/2014 13:47,Japantown,9,1/23/2014 13:56,San Jose Government Center,80,45,Customer
163438,1/23/2014 13:47,Mechanics Plaza (Market at Battery),75,1/23/2014 13:54,Powell Street BART,39,317,Subscriber
163439,1/23/2014 13:47,Embarcadero at Folsom,51,1/23/2014 13:56,San Francisco Caltrain (Townsend at 4th),70,619,Subscriber
163440,1/23/2014 13:47,Embarcadero at Sansome,60,1/23/2014 16:54,San Francisco City Hall,58,482,Customer
163441,1/23/2014 13:48,Embarcadero at Bryant,54,1/23/2014 13:58,Howard at 2nd,63,389,Subscriber
163442,1/23/2014 13:48,Washington at Kearney,46,1/23/2014 14:08,Embarcadero at Sansome,60,405,Customer
163443,1/23/2014 13:49,Washington at Kearney,46,1/23/2014 14:08,Embarcadero at Sansome,60,545,Customer
163444,1/23/2014 13:49,5th at Howard,57,1/23/2014 13:58,Townsend at 7th,65,384,Subscriber
163446,1/23/2014 13:49,Embarcadero at Bryant,54,1/23/2014 13:56,Harry Bridges Plaza (Ferry Building),50,360,Subscriber
163447,1/23/2014 13:49,2nd at South Park,64,1/23/2014 13:56,Spear at Folsom,49,637,Subscriber
163448,1/23/2014 13:52,San Jose Civic Center,3,1/23/2014 14:03,Arena Green / SAP Center,14,254,Subscriber
163449,1/23/2014 13:52,San Jose Civic Center,3,1/23/2014 14:03,Arena Green / SAP Center,14,643,Subscriber
