Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
31292,9/23/2013 9:13,Market at Sansome,77,9/23/2013 9:25,Market at 10th,67,401,Subscriber
31294,9/23/2013 9:15,2nd at South Park,64,9/23/2013 9:20,Market at Sansome,77,273,Subscriber
31295,9/23/2013 9:15,Temporary Transbay Terminal (Howard at Beale),55,9/23/2013 9:27,Embarcadero at Sansome,60,621,Subscriber
31296,9/23/2013 9:16,Civic Center BART (7th at Market),72,9/23/2013 9:27,2nd at South Park,64,483,Subscriber
31297,9/23/2013 9:17,San Francisco Caltrain (Townsend at 4th),70,9/23/2013 9:21,Townsend at 7th,65,319,Customer
31300,9/23/2013 9:18,Temporary Transbay Terminal (Howard at Beale),55,9/23/2013 9:37,Market at 10th,67,635,Subscriber
31308,9/23/2013 9:20,South Van Ness at Market,66,9/23/2013 9:35,Steuart at Market,74,437,Subscriber
31309,9/23/2013 9:20,Beale at Market,56,9/23/2013 9:29,Spear at Folsom,49,598,Subscriber
31310,9/23/2013 9:21,University and Emerson,35,9/23/2013 9:22,University and Emerson,35,104,Subscriber
31311,9/23/2013 9:22,SJSU - San Salvador at 9th,16,9/23/2013 9:27,SJSU 4th at San Carlos,12,660,Subscriber
31312,9/23/2013 9:22,Mechanics Plaza (Market at Battery),75,9/23/2013 9:35,Market at 10th,67,455,Subscriber
31313,9/23/2013 9:22,San Francisco Caltrain (Townsend at 4th),70,9/23/2013 9:31,Howard at 2nd,63,547,Subscriber
31314,9/23/2013 9:22,Civic Center BART (7th at Market),72,9/23/2013 12:28,Civic Center BART (7th at Market),72,599,Customer
31315,9/23/2013 9:23,Civic Center BART (7th at Market),72,9/23/2013 12:28,Civic Center BART (7th at Market),72,557,Customer
31316,9/23/2013 9:23,Powell at Post (Union Square),71,9/23/2013 9:34,Golden Gate at Polk,59,630,Subscriber
31317,9/23/2013 9:23,Grant Avenue at Columbus Avenue,73,9/23/2013 9:31,Market at Sansome,77,574,Subscriber
31318,9/23/2013 9:27,San Jose Diridon Caltrain Station,2,9/23/2013 9:34,San Pedro Square,6,651,Subscriber
