Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
15426,9/9/2013 11:18,Embarcadero at Sansome,60,9/9/2013 11:28,Clay at Battery,41,612,Customer
15427,9/9/2013 11:18,Powell at Post (Union Square),71,9/9/2013 11:31,Steuart at Market,74,268,Customer
15428,9/9/2013 11:21,Grant Avenue at Columbus Avenue,73,9/9/2013 11:32,Civic Center BART (7th at Market),72,500,Subscriber
15429,9/9/2013 11:22,Spear at Folsom,49,9/9/2013 11:31,San Francisco Caltrain 2 (330 Townsend),69,425,Subscriber
15430,9/9/2013 11:23,Mechanics Plaza (Market at Battery),75,9/9/2013 11:27,Davis at Jackson,42,387,Subscriber
15431,9/9/2013 11:26,Post at Kearney,47,9/9/2013 11:38,Market at 10th,67,443,Subscriber
15432,9/9/2013 11:29,San Pedro Square,6,9/9/2013 11:36,San Salvador at 1st,8,70,Subscriber
15433,9/9/2013 11:29,Harry Bridges Plaza (Ferry Building),50,9/9/2013 11:45,Embarcadero at Sansome,60,607,Customer
15434,9/9/2013 11:29,Harry Bridges Plaza (Ferry Building),50,9/9/2013 11:44,Embarcadero at Sansome,60,625,Customer
15435,9/9/2013 11:29,South Van Ness at Market,66,9/9/2013 11:31,Market at 10th,67,368,Subscriber
15436,9/9/2013 11:30,Commercial at Montgomery,45,9/9/2013 11:37,Davis at Jackson,42,472,Subscriber
15437,9/9/2013 11:31,Howard at 2nd,63,9/9/2013 11:34,2nd at Townsend,61,552,Subscriber
15438,9/9/2013 11:31,San Francisco Caltrain 2 (330 Townsend),69,9/9/2013 13:20,Spear at Folsom,49,398,Subscriber
15439,9/9/2013 11:31,Beale at Market,56,9/9/2013 11:36,Clay at Battery,41,458,Customer
15440,9/9/2013 11:33,Townsend at 7th,65,9/9/2013 11:45,Market at 10th,67,271,Subscriber
15441,9/9/2013 11:34,Steuart at Market,74,9/9/2013 11:55,Embarcadero at Sansome,60,268,Customer
15442,9/9/2013 11:34,Steuart at Market,74,9/9/2013 11:55,Embarcadero at Sansome,60,580,Customer
15443,9/9/2013 11:39,Market at 4th,76,9/9/2013 11:42,Mechanics Plaza (Market at Battery),75,486,Subscriber
15444,9/9/2013 11:39,Spear at Folsom,49,9/9/2013 11:54,Civic Center BART (7th at Market),72,259,Subscriber
15445,9/9/2013 11:41,Embarcadero at Sansome,60,9/9/2013 13:24,Powell Street BART,39,311,Customer
15446,9/9/2013 11:42,Embarcadero at Sansome,60,9/9/2013 13:24,Powell Street BART,39,402,Customer
15447,9/9/2013 11:42,Embarcadero at Sansome,60,9/9/2013 13:24,Powell Street BART,39,544,Customer
15448,9/9/2013 11:47,Powell Street BART,39,9/9/2013 11:59,Townsend at 7th,65,330,Customer
15450,9/9/2013 11:50,San Jose City Hall,10,9/9/2013 11:55,San Salvador at 1st,8,116,Subscriber
15451,9/9/2013 11:50,Beale at Market,56,9/9/2013 12:16,Embarcadero at Bryant,54,589,Customer
15452,9/9/2013 11:50,Beale at Market,56,9/9/2013 12:14,Embarcadero at Bryant,54,338,Subscriber
15453,9/9/2013 11:50,San Francisco Caltrain (Townsend at 4th),70,9/9/2013 11:55,Townsend at 7th,65,599,Customer
15454,9/9/2013 11:51,San Francisco Caltrain 2 (330 Townsend),69,9/9/2013 18:46,San Francisco Caltrain (Townsend at 4th),70,586,Customer
15455,9/9/2013 11:52,Post at Kearney,47,9/9/2013 12:16,Embarcadero at Sansome,60,498,Customer
15456,9/9/2013 11:52,South Van Ness at Market,66,9/9/2013 12:25,Embarcadero at Bryant,54,366,Customer
15457,9/9/2013 11:52,Post at Kearney,47,9/9/2013 12:16,Embarcadero at Sansome,60,421,Customer
15458,9/9/2013 11:53,Temporary Transbay Terminal (Howard at Beale),55,9/10/2013 11:43,Temporary Transbay Terminal (Howard at Beale),55,292,Customer
15460,9/9/2013 11:55,Commercial at Montgomery,45,9/9/2013 11:59,Market at Sansome,77,361,Subscriber
15461,9/9/2013 11:56,2nd at Townsend,61,9/9/2013 12:08,Powell at Post (Union Square),71,374,Customer
15462,9/9/2013 11:57,2nd at Folsom,62,9/9/2013 12:15,Beale at Market,56,405,Subscriber
15463,9/9/2013 11:57,2nd at Townsend,61,9/9/2013 14:52,2nd at Townsend,61,356,Customer
15464,9/9/2013 11:57,2nd at Townsend,61,9/9/2013 14:52,2nd at Townsend,61,504,Customer
15465,9/9/2013 11:58,South Van Ness at Market,66,9/9/2013 12:10,Market at Sansome,77,470,Subscriber
15466,9/9/2013 12:00,Temporary Transbay Terminal (Howard at Beale),55,9/9/2013 12:16,Market at 4th,76,628,Customer
15467,9/9/2013 12:00,Temporary Transbay Terminal (Howard at Beale),55,9/9/2013 12:16,Market at 4th,76,371,Customer
15470,9/9/2013 12:02,Market at 10th,67,9/9/2013 12:15,Post at Kearney,47,443,Subscriber
15472,9/9/2013 12:03,Powell Street BART,39,9/9/2013 12:27,Market at Sansome,77,359,Customer
15473,9/9/2013 12:05,5th at Howard,57,9/9/2013 12:15,Townsend at 7th,65,348,Subscriber
15474,9/9/2013 12:06,Cowper at University,37,9/9/2013 12:43,Palo Alto Caltrain Station,34,13,Customer
15476,9/9/2013 12:08,Washington at Kearney,46,9/9/2013 12:22,Embarcadero at Vallejo,48,519,Customer
15477,9/9/2013 12:08,Washington at Kearney,46,9/9/2013 12:22,Embarcadero at Vallejo,48,285,Customer
15478,9/9/2013 12:09,Davis at Jackson,42,9/9/2013 12:15,Commercial at Montgomery,45,472,Subscriber
15479,9/9/2013 12:09,Embarcadero at Vallejo,48,9/9/2013 12:21,Embarcadero at Vallejo,48,367,Customer
15480,9/9/2013 12:10,Clay at Battery,41,9/9/2013 12:22,5th at Howard,57,632,Subscriber
15481,9/9/2013 12:10,Clayat Battery,41,9/9/2013 12:21,Yerba Buena Center of the Arts (3rd @ Howard),68,384,Customer
15482,9/9/2013 12:10,Market at 10th,67,9/9/2013 14:26,San Francisco City Hall,58,522,Customer
15483,9/9/2013 12:16,Post at Kearney,47,9/9/2013 12:30,Townsend at 7th,65,443,Subscriber
15484,9/9/2013 12:17,Harry Bridges Plaza (Ferry Building),50,9/9/2013 12:18,Harry Bridges Plaza (Ferry Building),50,555,Subscriber
15485,9/9/2013 12:17,Embarcadero at Bryant,54,9/9/2013 12:33,Market at Sansome,77,482,Subscriber
15486,9/9/2013 12:17,Market at Sansome,77,9/9/2013 12:28,Embarcadero at Sansome,60,470,Subscriber
15487,9/9/2013 12:16,St James Park,13,9/9/2013 12:18,St James Park,13,52,Subscriber
15488,9/9/2013 12:17,Embarcadero at Bryant,54,9/9/2013 12:34,Market at Sansome,77,589,Customer
15489,9/9/2013 12:18,Harry Bridges Plaza (Ferry Building),50,9/9/2013 12:28,Powell Street BART,39,523,Subscriber
15490,9/9/2013 12:18,Mechanics Plaza (Market at Battery),75,9/9/2013 12:24,Market at 4th,76,486,Subscriber
15492,9/9/2013 12:20,Park at Olive,38,9/9/2013 12:40,San Antonio Caltrain Station,29,217,Customer
15493,9/9/2013 12:21,Embarcadero at Sansome,60,9/9/2013 12:53,Embarcadero at Sansome,60,268,Customer
15494,9/9/2013 12:21,Embarcadero at Sansome,60,9/9/2013 12:54,Embarcadero at Sansome,60,580,Customer
15497,9/9/2013 12:25,Steuart at Market,74,9/9/2013 12:38,San Francisco Caltrain (Townsend at 4th),70,364,Customer
15500,9/9/2013 12:26,Temporary Transbay Terminal (Howard at Beale),55,9/9/2013 12:45,Embarcadero at Vallejo,48,547,Subscriber
15501,9/9/2013 12:27,University and Emerson,35,9/9/2013 12:40,Park at Olive,38,100,Customer
15504,9/9/2013 12:27,Temporary Transbay Terminal (Howard at Beale),55,9/9/2013 12:37,Embarcadero at Vallejo,48,536,Subscriber
15505,9/9/2013 12:27,San Francisco City Hall,58,9/9/2013 12:50,Post at Kearney,47,543,Subscriber
15506,9/9/2013 12:29,Post at Kearney,47,9/9/2013 12:42,Market at 10th,67,557,Subscriber
15507,9/9/2013 12:30,Embarcadero at Sansome,60,9/9/2013 12:40,Mechanics Plaza (Market at Battery),75,428,Subscriber
