Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
124386,12/13/2013 10:52,San Francisco Caltrain (Townsend at 4th),70,12/13/2013 11:43,San Francisco Caltrain (Townsend at 4th),70,594,Customer
124387,12/13/2013 10:53,Grant Avenue at Columbus Avenue,73,12/13/2013 11:07,Spear at Folsom,49,527,Subscriber
124388,12/13/2013 10:54,5th at Howard,57,12/13/2013 11:16,Embarcadero at Folsom,51,509,Customer
124389,12/13/2013 10:55,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 11:04,Market at 10th,67,516,Customer
124390,12/13/2013 10:58,Steuart at Market,74,12/13/2013 11:02,Embarcadero at Vallejo,48,570,Subscriber
124391,12/13/2013 10:58,Steuart at Market,74,12/13/2013 11:01,Davis at Jackson,42,612,Subscriber
124392,12/13/2013 10:58,Grant Avenue at Columbus Avenue,73,12/13/2013 11:12,2nd at Townsend,61,289,Subscriber
124393,12/13/2013 10:59,Post at Kearney,47,12/13/2013 12:02,Post at Kearney,47,507,Customer
124394,12/13/2013 11:00,Powell Street BART,39,12/13/2013 11:04,Market at 4th,76,315,Subscriber
124395,12/13/2013 11:04,San Francisco City Hall,58,12/13/2013 11:17,2nd at South Park,64,613,Subscriber
124396,12/13/2013 11:05,Post at Kearney,47,12/13/2013 11:09,Steuart at Market,74,376,Subscriber
124400,12/13/2013 11:06,South Van Ness at Market,66,12/13/2013 11:21,Beale at Market,56,395,Subscriber
124404,12/13/2013 11:07,Steuart at Market,74,12/13/2013 11:17,San Francisco Caltrain 2 (330 Townsend),69,291,Subscriber
124405,12/13/2013 11:07,Washington at Kearney,46,12/13/2013 11:13,Mechanics Plaza (Market at Battery),75,390,Subscriber
124410,12/13/2013 11:13,2nd at South Park,64,12/13/2013 11:19,Yerba Buena Center of the Arts (3rd @ Howard),68,517,Subscriber
124413,12/13/2013 11:14,Steuart at Market,74,12/13/2013 11:25,Civic Center BART (7th at Market),72,376,Customer
124415,12/13/2013 11:16,University and Emerson,35,12/13/2013 11:43,Rengstorff Avenue / California Street,33,51,Subscriber
124416,12/13/2013 11:17,Market at Sansome,77,12/13/2013 11:23,Powell Street BART,39,605,Subscriber
124417,12/13/2013 11:17,Clay at Battery,41,12/13/2013 11:21,Temporary Transbay Terminal (Howard at Beale),55,611,Subscriber
124418,12/13/2013 11:17,Grant Avenue at Columbus Avenue,73,12/13/2013 13:55,Golden Gate at Polk,59,359,Customer
124420,12/13/2013 11:17,Grant Avenue at Columbus Avenue,73,12/13/2013 13:55,Golden Gate at Polk,59,622,Customer
124421,12/13/2013 11:18,2nd at Folsom,62,12/13/2013 11:27,Powell Street BART,39,382,Subscriber
124422,12/13/2013 11:19,2nd at Folsom,62,12/13/2013 11:28,Powell Street BART,39,406,Subscriber
124427,12/13/2013 11:23,South Van Ness at Market,66,12/13/2013 11:31,Market at 4th,76,464,Subscriber
124428,12/13/2013 11:23,Golden Gate at Polk,59,12/13/2013 11:33,Steuart at Market,74,563,Subscriber
124429,12/13/2013 11:27,Townsend at 7th,65,12/13/2013 11:44,Embarcadero at Folsom,51,309,Subscriber
124430,12/13/2013 11:28,Civic Center BART (7th at Market),72,12/13/2013 11:37,Powell at Post (Union Square),71,376,Customer
124431,12/13/2013 11:35,Harry Bridges Plaza (Ferry Building),50,12/13/2013 12:29,Grant Avenue at Columbus Avenue,73,631,Customer
124432,12/13/2013 11:36,Commercial at Montgomery,45,12/13/2013 11:43,Harry Bridges Plaza (Ferry Building),50,547,Subscriber
124433,12/13/2013 11:37,Harry Bridges Plaza (Ferry Building),50,12/13/2013 12:29,Grant Avenue at Columbus Avenue,73,585,Customer
124434,12/13/2013 11:39,5th at Howard,57,12/13/2013 11:45,Market at Sansome,77,520,Subscriber
124435,12/13/2013 11:43,San Jose City Hall,10,12/13/2013 11:48,San Salvador at 1st,8,665,Subscriber
124438,12/13/2013 11:43,Spear at Folsom,49,12/13/2013 11:53,Commercial at Montgomery,45,463,Subscriber
124439,12/13/2013 11:44,Rengstorff Avenue / California Street,33,12/13/2013 11:51,Mountain View City Hall,27,244,Subscriber
124440,12/13/2013 11:44,2nd at South Park,64,12/13/2013 11:51,Yerba Buena Center of the Arts (3rd @ Howard),68,427,Customer
124441,12/13/2013 11:44,2nd at South Park,64,12/13/2013 11:51,Yerba Buena Center of the Arts (3rd @ Howard),68,431,Subscriber
124443,12/13/2013 11:45,Embarcadero at Bryant,54,12/13/2013 11:50,Harry Bridges Plaza (Ferry Building),50,580,Subscriber
124447,12/13/2013 11:46,San Francisco Caltrain (Townsend at 4th),70,12/13/2013 12:14,San Francisco Caltrain (Townsend at 4th),70,594,Customer
124450,12/13/2013 11:47,2nd at Townsend,61,12/13/2013 11:53,Harry Bridges Plaza (Ferry Building),50,289,Subscriber
124454,12/13/2013 11:49,2nd at Folsom,62,12/13/2013 11:56,Powell Street BART,39,608,Subscriber
124455,12/13/2013 11:51,2nd at Townsend,61,12/13/2013 11:58,Harry Bridges Plaza (Ferry Building),50,573,Subscriber
124456,12/13/2013 11:51,Howard at 2nd,63,12/13/2013 11:56,Market at 4th,76,327,Subscriber
124458,12/13/2013 11:52,Embarcadero at Vallejo,48,12/13/2013 16:43,South Van Ness at Market,66,570,Customer
124459,12/13/2013 11:52,San Francisco City Hall,58,12/13/2013 12:06,Harry Bridges Plaza (Ferry Building),50,632,Subscriber
124460,12/13/2013 11:52,Embarcadero at Sansome,60,12/13/2013 12:00,Steuart at Market,74,282,Subscriber
124461,12/13/2013 11:52,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 11:58,5th at Howard,57,425,Subscriber
124463,12/13/2013 11:52,Embarcadero at Vallejo,48,12/13/2013 16:43,South Van Ness at Market,66,423,Customer
124465,12/13/2013 11:53,2nd at South Park,64,12/13/2013 12:01,Harry Bridges Plaza (Ferry Building),50,613,Subscriber
124466,12/13/2013 11:53,Beale at Market,56,12/13/2013 12:06,Market at 10th,67,340,Subscriber
124467,12/13/2013 11:57,Civic Center BART (7th at Market),72,12/13/2013 17:32,Powell Street BART,39,633,Customer
124470,12/13/2013 12:00,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 12:04,Davis at Jackson,42,611,Subscriber
124473,12/13/2013 12:02,Mechanics Plaza (Market at Battery),75,12/13/2013 12:05,Clay at Battery,41,636,Subscriber
124476,12/13/2013 12:03,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 12:14,Townsend at 7th,65,431,Subscriber
124477,12/13/2013 12:04,Harry Bridges Plaza (Ferry Building),50,12/13/2013 12:09,Commercial at Montgomery,45,547,Subscriber
124478,12/13/2013 12:05,5th at Howard,57,12/13/2013 12:12,San Francisco Caltrain (Townsend at 4th),70,433,Subscriber
124479,12/13/2013 12:06,Townsend at 7th,65,12/13/2013 12:15,Civic Center BART (7th at Market),72,383,Subscriber
124480,12/13/2013 12:07,Clay at Battery,41,12/13/2013 12:17,Civic Center BART (7th at Market),72,577,Subscriber
124481,12/13/2013 12:08,Golden Gate at Polk,59,12/13/2013 12:51,Civic Center BART (7th at Market),72,562,Subscriber
124482,12/13/2013 12:09,Market at 10th,67,12/13/2013 12:19,Yerba Buena Center of the Arts (3rd @ Howard),68,396,Customer
124489,12/13/2013 12:08,2nd at Townsend,61,12/13/2013 12:19,Temporary Transbay Terminal (Howard at Beale),55,600,Subscriber
124490,12/13/2013 12:12,Spear at Folsom,49,12/13/2013 12:17,2nd at Townsend,61,597,Subscriber
124491,12/13/2013 12:12,Market at Sansome,77,12/13/2013 12:17,Davis at Jackson,42,388,Subscriber
124494,12/13/2013 12:13,2nd at Folsom,62,12/13/2013 12:19,Harry Bridges Plaza (Ferry Building),50,511,Subscriber
124495,12/13/2013 12:14,2nd at Folsom,62,12/13/2013 12:19,Harry Bridges Plaza (Ferry Building),50,548,Subscriber
124496,12/13/2013 12:16,2nd at Folsom,62,12/13/2013 12:19,2nd at South Park,64,318,Subscriber
124497,12/13/2013 12:16,2nd at South Park,64,12/13/2013 12:25,Market at 4th,76,582,Subscriber
124498,12/13/2013 12:17,Market at 4th,76,12/13/2013 12:19,Post at Kearney,47,634,Subscriber
124499,12/13/2013 12:17,Embarcadero at Sansome,60,12/13/2013 12:21,Embarcadero at Vallejo,48,474,Subscriber
124500,12/13/2013 12:19,Market at 4th,76,12/13/2013 12:28,San Francisco Caltrain (Townsend at 4th),70,429,Subscriber
124502,12/13/2013 12:19,Embarcadero at Sansome,60,12/13/2013 12:39,5th at Howard,57,449,Customer
124503,12/13/2013 12:23,Market at 10th,67,12/13/2013 12:25,Civic Center BART (7th at Market),72,459,Subscriber
124504,12/13/2013 12:23,Market at 4th,76,12/13/2013 12:27,Washington at Kearney,46,327,Subscriber
124505,12/13/2013 12:23,San Francisco Caltrain (Townsend at 4th),70,12/13/2013 12:27,2nd at Townsend,61,539,Subscriber
124506,12/13/2013 12:25,Townsend at 7th,65,12/13/2013 12:28,San Francisco Caltrain (Townsend at 4th),70,270,Subscriber
124509,12/13/2013 12:28,2nd at Townsend,61,12/13/2013 12:49,San Francisco Caltrain (Townsend at 4th),70,332,Subscriber
124510,12/13/2013 12:29,Embarcadero at Folsom,51,12/13/2013 12:39,Davis at Jackson,42,481,Customer
124512,12/13/2013 12:32,Grant Avenue at Columbus Avenue,73,12/13/2013 18:20,Grant Avenue at Columbus Avenue,73,572,Customer
124513,12/13/2013 12:33,Market at Sansome,77,12/13/2013 12:41,Embarcadero at Sansome,60,378,Subscriber
124514,12/13/2013 12:34,Market at Sansome,77,12/13/2013 12:38,Harry Bridges Plaza (Ferry Building),50,281,Subscriber
124515,12/13/2013 12:36,Howard at 2nd,63,12/13/2013 12:42,5th at Howard,57,386,Subscriber
124516,12/13/2013 12:38,Beale at Market,56,12/13/2013 12:44,2nd at Folsom,62,395,Subscriber
124517,12/13/2013 12:39,Mechanics Plaza (Market at Battery),75,12/13/2013 12:43,Commercial at Montgomery,45,366,Subscriber
124518,12/13/2013 12:40,Golden Gate at Polk,59,12/13/2013 12:57,Townsend at 7th,65,485,Subscriber
124519,12/13/2013 12:44,2nd at Townsend,61,12/13/2013 12:48,San Francisco Caltrain 2 (330 Townsend),69,539,Subscriber
124520,12/13/2013 12:45,Market at 4th,76,12/13/2013 12:52,Steuart at Market,74,510,Subscriber
