Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
148544,1/9/2014 20:31,Post at Kearney,47,1/9/2014 20:37,Grant Avenue at Columbus Avenue,73,315,Subscriber
148545,1/9/2014 20:34,San Antonio Caltrain Station,29,1/9/2014 20:38,San Antonio Shopping Center,31,97,Subscriber
148547,1/9/2014 20:37,Embarcadero at Folsom,51,1/9/2014 20:41,Embarcadero at Bryant,54,452,Subscriber
148549,1/9/2014 20:40,Market at Sansome,77,1/9/2014 20:49,Civic Center BART (7th at Market),72,516,Subscriber
148550,1/9/2014 20:41,Powell Street BART,39,1/9/2014 20:48,Townsend at 7th,65,456,Subscriber
148551,1/9/2014 20:41,Powell Street BART,39,1/9/2014 20:49,Townsend at 7th,65,609,Subscriber
148552,1/9/2014 20:44,Civic Center BART (7th at Market),72,1/9/2014 20:49,South Van Ness at Market,66,392,Subscriber
148554,1/9/2014 20:46,South Van Ness at Market,66,1/9/2014 20:52,5th at Howard,57,589,Subscriber
148558,1/9/2014 20:51,San Francisco Caltrain 2 (330 Townsend),69,1/9/2014 20:58,Powell Street BART,39,528,Subscriber
148559,1/9/2014 20:51,Embarcadero at Bryant,54,1/9/2014 21:13,2nd at Folsom,62,470,Subscriber
148561,1/9/2014 20:54,Market at 4th,76,1/9/2014 21:00,Market at 10th,67,576,Subscriber
148566,1/9/2014 20:55,San Francisco Caltrain (Townsend at 4th),70,1/9/2014 21:09,Embarcadero at Sansome,60,483,Subscriber
148568,1/9/2014 20:58,Market at Sansome,77,1/9/2014 21:06,Spear at Folsom,49,335,Subscriber
148569,1/9/2014 20:59,South Van Ness at Market,66,1/9/2014 21:04,Civic Center BART (7th at Market),72,371,Subscriber
148570,1/9/2014 20:59,Townsend at 7th,65,1/9/2014 21:03,San Francisco Caltrain (Townsend at 4th),70,609,Subscriber
148571,1/9/2014 21:01,Market at 4th,76,1/9/2014 21:13,Embarcadero at Folsom,51,509,Subscriber
148572,1/9/2014 21:08,Market at 4th,76,1/9/2014 21:16,South Van Ness at Market,66,436,Subscriber
148573,1/9/2014 21:09,South Van Ness at Market,66,1/9/2014 21:18,Post at Kearney,47,348,Subscriber
148574,1/9/2014 21:10,Temporary Transbay Terminal (Howard at Beale),55,1/9/2014 21:22,2nd at Townsend,61,431,Subscriber
148575,1/9/2014 21:13,2nd at Folsom,62,1/9/2014 21:16,Temporary Transbay Terminal (Howard at Beale),55,470,Subscriber
148576,1/9/2014 21:18,Golden Gate at Polk,59,1/9/2014 21:21,Civic Center BART (7th at Market),72,399,Subscriber
148577,1/9/2014 21:19,San Francisco Caltrain 2 (330 Townsend),69,1/9/2014 21:23,Townsend at 7th,65,409,Subscriber
148580,1/9/2014 21:26,Market at 4th,76,1/9/2014 21:40,South Van Ness at Market,66,362,Subscriber
148581,1/9/2014 21:28,Mechanics Plaza (Market at Battery),75,1/9/2014 21:32,Market at 4th,76,393,Subscriber
148583,1/9/2014 21:33,Mechanics Plaza (Market at Battery),75,1/9/2014 21:43,Market at 10th,67,469,Subscriber
148584,1/9/2014 21:33,Market at 10th,67,1/9/2014 21:41,Market at 4th,76,576,Subscriber
148585,1/9/2014 21:40,Post at Kearney,47,1/9/2014 21:46,Spear at Folsom,49,385,Subscriber
