Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
160747,1/21/2014 16:48,Mechanics Plaza (Market at Battery),75,1/21/2014 17:00,South Van Ness at Market,66,309,Subscriber
160748,1/21/2014 16:48,Market at 4th,76,1/21/2014 16:54,Washington at Kearney,46,367,Subscriber
160749,1/21/2014 16:49,Santa Clara at Almaden,4,1/21/2014 16:53,San Jose Diridon Caltrain Station,2,157,Subscriber
160750,1/21/2014 16:49,Market at 4th,76,1/21/2014 17:02,San Francisco Caltrain (Townsend at 4th),70,317,Subscriber
160751,1/21/2014 16:49,Temporary Transbay Terminal (Howard at Beale),55,1/21/2014 16:51,Beale at Market,56,482,Subscriber
160752,1/21/2014 16:50,Temporary Transbay Terminal (Howard at Beale),55,1/21/2014 16:59,San Francisco Caltrain (Townsend at 4th),70,635,Subscriber
160753,1/21/2014 16:50,Market at 4th,76,1/21/2014 16:57,Harry Bridges Plaza (Ferry Building),50,349,Subscriber
160754,1/21/2014 16:49,Embarcadero at Folsom,51,1/21/2014 16:59,San Francisco Caltrain 2 (330 Townsend),69,277,Subscriber
160755,1/21/2014 16:52,Commercial at Montgomery,45,1/21/2014 17:10,San Francisco Caltrain (Townsend at 4th),70,350,Subscriber
160756,1/21/2014 16:52,Embarcadero at Vallejo,48,1/21/2014 17:06,San Francisco Caltrain 2 (330 Townsend),69,500,Subscriber
160757,1/21/2014 16:52,Embarcadero at Folsom,51,1/21/2014 17:01,Yerba Buena Center of the Arts (3rd @ Howard),68,576,Customer
160758,1/21/2014 16:53,Santa Clara at Almaden,4,1/21/2014 18:08,St James Park,13,139,Customer
160759,1/21/2014 16:52,Santa Clara at Almaden,4,1/21/2014 18:08,St James Park,13,149,Customer
160760,1/21/2014 16:53,2nd at South Park,64,1/21/2014 16:57,San Francisco Caltrain (Townsend at 4th),70,451,Subscriber
160762,1/21/2014 16:55,San Antonio Shopping Center,31,1/21/2014 16:59,San Antonio Caltrain Station,29,194,Subscriber
160763,1/21/2014 16:56,Townsend at 7th,65,1/21/2014 16:59,San Francisco Caltrain (Townsend at 4th),70,412,Subscriber
160764,1/21/2014 16:57,Clay at Battery,41,1/21/2014 17:00,Embarcadero at Vallejo,48,528,Subscriber
160765,1/21/2014 16:57,Townsend at 7th,65,1/21/2014 17:12,Harry Bridges Plaza (Ferry Building),50,488,Subscriber
160766,1/21/2014 16:57,Embarcadero at Sansome,60,1/21/2014 17:13,Golden Gate at Polk,59,288,Subscriber
160767,1/21/2014 16:59,Embarcadero at Vallejo,48,1/21/2014 17:02,Steuart at Market,74,534,Subscriber
160768,1/21/2014 16:59,Market at Sansome,77,1/21/2014 17:07,San Francisco Caltrain (Townsend at 4th),70,436,Subscriber
160769,1/21/2014 17:00,San Francisco Caltrain (Townsend at 4th),70,1/21/2014 17:09,Harry Bridges Plaza (Ferry Building),50,407,Subscriber
160770,1/21/2014 17:00,Beale at Market,56,1/21/2014 17:07,Embarcadero at Sansome,60,532,Subscriber
160771,1/21/2014 17:00,Powell Street BART,39,1/21/2014 17:06,San Francisco Caltrain 2 (330 Townsend),69,503,Customer
160772,1/21/2014 17:00,2nd at South Park,64,1/21/2014 17:05,Market at Sansome,77,627,Subscriber
160774,1/21/2014 17:01,Howard at 2nd,63,1/21/2014 17:08,Harry Bridges Plaza (Ferry Building),50,537,Subscriber
160775,1/21/2014 17:01,Harry Bridges Plaza (Ferry Building),50,1/21/2014 18:29,Harry Bridges Plaza (Ferry Building),50,551,Customer
