Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
36398,9/26/2013 18:02,Golden Gate at Polk,59,9/26/2013 18:17,Beale at Market,56,592,Subscriber
36399,9/26/2013 18:02,Clayat Battery,41,9/26/2013 18:12,Yerba Buena Center of the Arts (3rd @ Howard),68,281,Customer
36400,9/26/2013 18:03,Commercial at Montgomery,45,9/26/2013 18:10,Market at 4th,76,319,Customer
36401,9/26/2013 18:03,Steuart at Market,74,9/26/2013 18:43,Washington at Kearney,46,567,Customer
36402,9/26/2013 18:04,Harry Bridges Plaza (Ferry Building),50,9/26/2013 18:08,Temporary Transbay Terminal (Howard at Beale),55,574,Subscriber
36403,9/26/2013 18:04,Embarcadero at Bryant,54,9/26/2013 18:12,San Francisco Caltrain 2 (330 Townsend),69,290,Subscriber
36404,9/26/2013 18:04,5th at Howard,57,9/26/2013 18:09,San Francisco Caltrain (Townsend at 4th),70,541,Subscriber
36405,9/26/2013 18:05,Japantown,9,9/26/2013 18:14,MLK Library,11,198,Subscriber
36406,9/26/2013 18:06,San Francisco Caltrain (Townsend at 4th),70,9/26/2013 18:18,Powell at Post (Union Square),71,488,Subscriber
36407,9/26/2013 18:06,Steuart at Market,74,9/26/2013 18:12,Embarcadero at Sansome,60,394,Subscriber
36408,9/26/2013 18:07,Clay at Battery,41,9/26/2013 18:11,Temporary Transbay Terminal (Howard at Beale),55,588,Subscriber
36409,9/26/2013 18:07,Market at Sansome,77,9/26/2013 18:21,Powell at Post (Union Square),71,628,Subscriber
36410,9/26/2013 18:07,Howard at 2nd,63,9/26/2013 18:13,Steuart at Market,74,528,Subscriber
36411,9/26/2013 18:08,2nd at Townsend,61,9/26/2013 18:18,Harry Bridges Plaza (Ferry Building),50,371,Subscriber
36412,9/26/2013 18:08,Market at 10th,67,9/26/2013 18:19,San Francisco Caltrain (Townsend at 4th),70,336,Subscriber
36413,9/26/2013 18:08,Spear at Folsom,49,9/26/2013 18:22,Market at 4th,76,292,Subscriber
36414,9/26/2013 18:09,Market at 10th,67,9/26/2013 18:18,Market at 4th,76,617,Subscriber
36418,9/26/2013 18:12,2nd at Townsend,61,9/26/2013 18:19,Harry Bridges Plaza (Ferry Building),50,614,Subscriber
36421,9/26/2013 18:14,Mountain View Caltrain Station,28,9/26/2013 18:25,Rengstorff Avenue / California Street,33,79,Subscriber
36422,9/26/2013 18:14,San Francisco Caltrain 2 (330 Townsend),69,9/26/2013 18:18,Townsend at 7th,65,369,Subscriber
36423,9/26/2013 18:14,Clay at Battery,41,9/26/2013 18:21,Beale at Market,56,566,Subscriber
36424,9/26/2013 18:15,Townsend at 7th,65,9/26/2013 18:28,Golden Gate at Polk,59,417,Subscriber
36425,9/26/2013 18:15,Post at Kearney,47,9/26/2013 18:30,San Francisco Caltrain 2 (330 Townsend),69,546,Subscriber
36426,9/26/2013 18:16,San Francisco Caltrain 2 (330 Townsend),69,9/26/2013 18:21,Townsend at 7th,65,549,Subscriber
36427,9/26/2013 18:17,Howard at 2nd,63,9/26/2013 18:21,Market at Sansome,77,271,Subscriber
36429,9/26/2013 18:17,SJSU 4th at San Carlos,12,9/26/2013 18:21,St James Park,13,187,Subscriber
36430,9/26/2013 18:18,Harry Bridges Plaza (Ferry Building),50,9/26/2013 18:24,Spear at Folsom,49,376,Subscriber
36431,9/26/2013 18:18,Howard at 2nd,63,9/26/2013 18:23,2nd at South Park,64,454,Customer
36433,9/26/2013 18:20,Beale at Market,56,9/26/2013 18:35,San Francisco Caltrain (Townsend at 4th),70,592,Subscriber
36434,9/26/2013 18:20,Spear at Folsom,49,9/26/2013 18:36,Washington at Kearney,46,370,Subscriber
36435,9/26/2013 18:21,Santa Clara at Almaden,4,9/26/2013 18:25,San Jose Diridon Caltrain Station,2,669,Subscriber
36436,9/26/2013 18:21,Howard at 2nd,63,9/26/2013 18:27,2nd at Townsend,61,599,Subscriber
36437,9/26/2013 18:23,Mountain View City Hall,27,9/26/2013 18:29,Mountain View Caltrain Station,28,128,Subscriber
36438,9/26/2013 18:23,San Francisco Caltrain 2 (330 Townsend),69,9/26/2013 18:28,2nd at South Park,64,532,Subscriber
36439,9/26/2013 18:23,Yerba Buena Center of the Arts (3rd @ Howard),68,9/26/2013 18:32,Clay at Battery,41,281,Customer
36440,9/26/2013 18:26,2nd at Townsend,61,9/26/2013 18:34,Steuart at Market,74,618,Subscriber
36441,9/26/2013 18:27,2nd at Townsend,61,9/26/2013 18:36,Market at Sansome,77,501,Subscriber
36442,9/26/2013 18:28,Market at 4th,76,9/26/2013 18:32,Market at Sansome,77,319,Subscriber
36443,9/26/2013 18:28,San Francisco Caltrain (Townsend at 4th),70,9/26/2013 18:36,Civic Center BART (7th at Market),72,541,Subscriber
36444,9/26/2013 18:28,2nd at South Park,64,9/26/2013 18:35,San Francisco Caltrain (Townsend at 4th),70,620,Subscriber
36445,9/26/2013 18:29,Townsend at 7th,65,9/26/2013 18:39,2nd at Townsend,61,577,Subscriber
36446,9/26/2013 18:29,2nd at Townsend,61,9/26/2013 18:44,Market at 4th,76,522,Subscriber
36447,9/26/2013 18:29,Steuart at Market,74,9/26/2013 18:41,Civic Center BART (7th at Market),72,505,Subscriber
36448,9/26/2013 18:30,Market at Sansome,77,9/26/2013 18:46,San Francisco Caltrain 2 (330 Townsend),69,575,Subscriber
36449,9/26/2013 18:32,South Van Ness at Market,66,9/26/2013 18:37,Civic Center BART (7th at Market),72,259,Subscriber
36450,9/26/2013 18:32,Market at 4th,76,9/26/2013 18:40,2nd at South Park,64,398,Subscriber
36451,9/26/2013 18:34,2nd at Townsend,61,9/26/2013 18:40,Howard at 2nd,63,289,Subscriber
36454,9/26/2013 18:35,Santa Clara at Almaden,4,9/26/2013 18:40,San Jose Diridon Caltrain Station,2,234,Customer
36456,9/26/2013 18:35,Howard at 2nd,63,9/26/2013 18:54,Townsend at 7th,65,446,Subscriber
36457,9/26/2013 18:36,Townsend at 7th,65,9/26/2013 18:41,San Francisco Caltrain (Townsend at 4th),70,369,Subscriber
36458,9/26/2013 18:36,Howard at 2nd,63,9/26/2013 18:48,Embarcadero at Sansome,60,596,Subscriber
36459,9/26/2013 18:36,Market at 4th,76,9/26/2013 18:45,Temporary Transbay Terminal (Howard at Beale),55,292,Subscriber
36460,9/26/2013 18:36,Cowper at University,37,9/26/2013 18:42,Palo Alto Caltrain Station,34,17,Subscriber
36461,9/26/2013 18:36,Market at Sansome,77,9/26/2013 18:49,San Francisco Caltrain (Townsend at 4th),70,557,Customer
36463,9/26/2013 18:37,Market at 4th,76,9/26/2013 18:43,Commercial at Montgomery,45,333,Customer
36464,9/26/2013 18:37,Howard at 2nd,63,9/26/2013 18:45,San Francisco Caltrain (Townsend at 4th),70,536,Subscriber
36465,9/26/2013 18:38,San Jose Diridon Caltrain Station,2,9/26/2013 18:47,San Pedro Square,6,646,Subscriber
